39,120,92
68,166,134
25,123,122
44,111,102
7,72,152
9,79,199
32,115,116
8,106,199
22,89,110
21,69,100
22,72,119
21,91,134
90,186,108
31,125,123
4,42,191
65,123,71
77,199,108
121,177,70
0,33,176
30,85,101
6,69,164
16,111,149
61,117,109
11,73,160
2,40,110
34,110,116
1,44,159
18,88,118
4,35,115
6,69,114
22,114,164
2,33,147
102,152,70
8,44,178
8,92,148
26,107,109
1,29,145
59,114,105
9,56,114
60,163,99
18,87,107
20,107,114
38,116,92
30,110,110
4,40,193
52,159,110
20,98,119
15,53,112
38,98,164
26,107,96
11,54,174
34,101,81
48,129,76
23,115,113
57,163,118
8,89,116
67,131,92
16,120,132
30,96,76
17,105,134
20,97,106
64,122,65
12,67,164
3,47,80
13,89,113
13,63,130
41,96,89
21,110,125
10,64,89
1,16,176
9,78,101
43,143,101
17,106,142
3,51,157
10,101,176
44,112,90
31,122,105
54,144,94
90,134,60
14,55,93
27,134,134
21,105,142
27,146,137
61,160,122
16,79,114
24,111,172
33,107,113
20,82,139
20,89,111
56,132,129
31,113,77
19,63,95
89,111,72
25,97,130
12,88,147
71,155,72
18,82,131
27,115,148
26,94,126
89,186,72
16,92,117
11,63,126
4,64,164
42,130,108
31,73,116
35,108,145
51,169,123
28,75,90
14,60,107
37,81,87
6,64,156
12,71,164
9,68,157
5,50,187
17,90,108
18,72,113
12,88,160
9,71,102
8,73,154
68,124,99
147,209,77
27,83,124
93,104,47
15,79,119
258,131,20
22,100,112
56,134,101
86,190,83
31,108,79
36,154,117
25,86,109
10,99,139
9,78,156
19,87,102
12,102,195
22,97,123
16,108,163
66,121,67
7,59,125
26,126,115
40,99,102
109,189,99
48,139,92
23,100,122
7,80,155
83,150,93
19,97,113
59,112,47
14,79,148
7,47,90
2,55,220
3,30,132
6,66,89
67,178,125
32,115,110
30,85,86
82,128,108
36,129,117
139,163,73
16,90,90
5,55,126
17,66,186
54,171,137
30,90,145
39,88,117
7,52,148
47,191,125
61,111,86
117,115,35
24,88,140
14,87,129
30,104,123
168,174,56
10,87,141
73,129,84
3,48,167
11,79,130
18,113,185
32,97,155
8,72,136
12,73,101
5,79,211
128,161,50
35,116,84
5,69,158
71,107,104
7,62,139
88,123,70
19,73,105
22,111,101
32,96,78
93,170,82
126,147,60
2,55,144
131,188,80
131,170,61
80,153,116
30,96,107
24,72,84
16,82,114
39,126,103
7,62,121
25,96,98
10,64,176
53,119,75
41,122,106
14,80,113
42,117,122
42,115,75
268,207,33
27,105,92
107,146,51
97,152,68
67,168,79
29,96,93
15,73,166
19,113,157
27,104,168
8,51,77
201,261,86
65,163,107
17,98,158
40,109,83
11,73,97
22,89,130
62,153,116
2,29,148
4,46,96
54,158,86
114,175,98
53,154,109
62,127,87
32,112,96
89,141,56
0,51,166
51,121,98
27,122,131
40,105,138
14,91,124
56,151,105
44,134,120
5,61,168
70,149,80
41,107,126
7,59,135
19,91,127
14,69,108
113,164,82
105,164,159
15,84,134
83,155,127
50,136,97
70,153,91
72,183,136
10,74,149
18,98,147
4,35,145
17,75,82
62,148,99
38,141,163
123,162,44
133,164,69
36,125,112
9,67,147
41,138,121
5,31,78
34,147,132
0,16,183
18,80,111
98,161,125
19,96,144
31,134,108
10,88,168
42,90,85
9,57,97
2,54,181
61,103,135
20,70,111
13,88,152
34,138,149
0,11,189
46,148,110
10,73,150
14,73,136
11,66,149
15,97,127
8,65,191
30,97,80
8,67,136
5,52,154
8,73,113
71,178,115
14,89,120
3,33,200
29,115,134
40,113,76
46,116,94
45,130,80
75,97,58
85,150,70
81,181,90
13,81,130
25,89,86
20,104,112
25,121,110
91,130,56
73,132,83
14,90,159
35,110,103
3,43,133
11,73,245
12,77,148
26,129,137
7,82,155
45,139,127
74,145,103
113,170,69
4,46,134
60,132,97
54,122,81
12,65,154
10,67,133
49,150,108
10,74,131
5,70,155
32,94,82
19,106,131
64,127,64
11,67,86
26,103,153
20,87,108
21,96,170
13,77,77
53,152,123
0,31,158
2,34,186
82,116,61
38,99,86
56,155,103
25,96,112
26,98,110
26,119,114
15,111,158
